src,dst,weight
93.0,736.0,2.1716255105275195e-06
93.0,855.0,1.9093376977252774e-06
93.0,1051.0,5.964820047665853e-06
94.0,94.0,0.9999444484710693
94.0,388.0,6.640015612902062e-07
94.0,452.0,9.486425938121101e-07
94.0,799.0,7.117021709746041e-07
94.0,807.0,7.688687446716358e-07
94.0,989.0,8.495384236084647e-07
94.0,1102.0,6.440449169531348e-07
95.0,37.0,4.6878515291837175e-08
95.0,43.0,0.33332937955856323
95.0,95.0,0.33332937955856323
95.0,333.0,0.33332937955856323
95.0,373.0,4.963558453141559e-08
95.0,586.0,5.396989166683852e-08
95.0,1280.0,4.9422787640196475e-08
96.0,96.0,0.9996939301490784
96.0,281.0,2.7633016088657314e-06
96.0,368.0,3.0453991257672897e-06
96.0,953.0,3.1982413020159584e-06
96.0,975.0,2.2755675672669895e-05
96.0,986.0,3.2591965464234818e-06
96.0,1181.0,7.331614597205771e-06
97.0,97.0,0.9996564984321594
97.0,180.0,2.6797833925229497e-06
97.0,203.0,4.006052222393919e-06
97.0,1015.0,1.2246376172697637e-05
97.0,1019.0,3.1388808565679938e-06
97.0,1048.0,2.812372940752539e-06
97.0,1319.0,6.650175237155054e-06
98.0,98.0,0.9999392032623291
98.0,344.0,2.2863086712732184e-07
98.0,684.0,2.568824015725113e-07
98.0,687.0,2.811561330418044e-07
98.0,688.0,2.811561330418044e-07
98.0,734.0,7.423919328175543e-07
98.0,1128.0,7.041927005957405e-07
99.0,99.0,0.9999278783798218
99.0,612.0,3.7711689060415665e-07
99.0,877.0,3.765937037769618e-07
99.0,902.0,3.7604627323162276e-07
99.0,1086.0,4.0924058453128964e-07
99.0,1450.0,4.489781133543147e-07
99.0,1453.0,3.7509016692638397e-07
100.0,100.0,0.9999386072158813
100.0,235.0,2.7150431947120524e-07
100.0,464.0,1.6543023662052292e-07
100.0,1055.0,2.1826701868121745e-07
100.0,1122.0,2.9917453048255993e-06
100.0,1180.0,3.207698000551318e-07
100.0,1191.0,2.0814778167732584e-07
101.0,101.0,0.9996445178985596
101.0,138.0,3.255004912716686e-06
101.0,152.0,3.458596893324284e-06
101.0,307.0,3.7869108382437844e-06
101.0,794.0,6.502823453047313e-06
101.0,837.0,4.941794486512663e-06
101.0,846.0,9.600635166862048e-06
102.0,83.0,1.7937662050826475e-05
102.0,102.0,0.998801052570343
102.0,162.0,2.4133382794389036e-06
102.0,189.0,3.985172952525318e-06
102.0,470.0,0.0009257888305000961
102.0,916.0,2.654958507264382e-06
102.0,1201.0,2.3503523607359966e-06
103.0,103.0,0.9997352361679077
103.0,393.0,2.5294873466918943e-06
103.0,564.0,1.4833917703072075e-05
